Weight
1964.688
8037.360
1159.488
1074.427
1607.472
1179.813
186.966
517.018
732.654
1473.516
1159.488
321.494
232.190
10265.372
4822.416
411.860
200.000
1964.688
513.333
200.000
175.000
345.168
0.000
254.470
100.000
1178.813
514.391
724.853
140.000
1159.488
167.445
260.470
1473.516
3343.542
517.018
257.195
96.448
517.752
1864.668
370.138
4822.416
469.846
967.240
